"","ARREST_PRECINCT","Population","Number_of_Arrests","Arrest_Rate","X1","DBN","School_Name.x","Cohort_Year","Cohort_Total","Grad_Total","Grad_Rate","Borough","Latitude","Longitude","Neighborhood","Building_Code","Register","Violent_Rate","Property_Crime_Rate","Major_Crime_Rate","Behavior_Rate","School_Name.y","Total_Enrollment","per_Male","per_Female","per_ELL","per_SWD","per_Asian","per_Black","per_Hispanic","per_White","per_Poverty","Transfer","District"
"401",105,188582,5080,0.0269378837853029,406,"26Q435","MARTIN VAN BUREN HIGH SCHOOL",2013,328,221,0.674,"Q",40.733066,-73.738756,"Bellerose","Q435",2096,0.238549618320611,0.333969465648855,0.0954198473282443,1.24045801526718,"Martin Van Buren High School",2096,54.3,45.7,11.7,11.5,25.4,56.3,13.5,2.8,67.2,0,"26"
"402",105,188582,5080,0.0269378837853029,439,"29Q243","INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT",2013,80,72,0.9,"Q",40.697819,-73.745728,"Cambria Heights","Q490",1499,0.200133422281521,0.200133422281521,0.133422281521014,0.800533689126084,"Institute for Health Professions at Cambria Height",82,41.5,58.5,7.3,11,9.8,76.8,11,2.4,79.3,0,"29"
"403",105,188582,5080,0.0269378837853029,449,"29Q498","HUMANITIES & ARTS MAGNET HIGH SCHOOL",2013,122,83,0.68,"Q",40.697819,-73.745728,"Cambria Heights","Q490",1499,0.200133422281521,0.200133422281521,0.133422281521014,0.800533689126084,"Humanities & Arts Magnet High School",513,41.7,58.3,3.1,16.2,6,79.7,12.3,1.4,72.5,0,"29"
"404",105,188582,5080,0.0269378837853029,448,"29Q492","MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET",2013,98,71,0.724,"Q",40.697819,-73.745728,"Cambria Heights","Q490",1499,0.200133422281521,0.200133422281521,0.133422281521014,0.800533689126084,"Mathematics, Science Research and Technology Magne",416,60.6,39.4,6,9.9,7.5,77.4,10.6,1.4,81.7,0,"29"
"405",106,122441,4403,0.0359601767381841,422,"27Q480","JOHN ADAMS HIGH SCHOOL",2013,592,422,0.713,"Q",40.679639,-73.837298,"South Ozone Park","Q480",3092,0.323415265200517,0.0646830530401035,0.0970245795601552,0.646830530401035,"John Adams High School",2838,55.9,44.1,18.7,14.7,26,26.1,38.6,3.3,88.1,0,"27"
"406",106,122441,4403,0.0359601767381841,413,"27Q308","ROBERT H GODDARD HIGH SCHOOL OF COMMUNICATION ARTS",2013,137,128,0.934,"Q",40.67124,-73.845141,"Ozone Park","Q202",1628,0.0614250614250614,0.0614250614250614,0,0.42997542997543,"Robert H. Goddard High School of Communication Art",598,45.8,54.2,3.8,15.1,29.1,7.2,43.1,18.4,81.3,0,"27"
"407",107,151107,3309,0.0218983898826659,427,"28Q325","HILLSIDE ARTS & LETTERS ACADEMY",2013,102,86,0.843,"Q",40.713218,-73.797237,"Briarwood-Jamaica Hills","Q470",1868,0.160599571734475,0.267665952890792,0,0.481798715203426,"Hillside Arts & Letters Academy",420,45.5,54.5,11.2,10.2,27.4,40.7,22.1,4.3,74,0,"28"
"408",107,151107,3309,0.0218983898826659,400,"25Q525","TOWNSEND HARRIS HIGH SCHOOL",2013,261,259,0.992,"Q",40.73439,-73.821392,"Kew Gardens Hills","Q515",1151,0,0.0868809730668983,0,0,"Townsend Harris High School",1151,30,70,0,0.5,58.1,6,12.6,22.1,50.9,0,"25"
"409",107,151107,3309,0.0218983898826659,430,"28Q350","JAMAICA GATEWAY TO THE SCIENCES",2013,145,121,0.834,"Q",40.713218,-73.797237,"Briarwood-Jamaica Hills","Q470",1868,0.160599571734475,0.267665952890792,0,0.481798715203426,"Jamaica Gateway to the Sciences",396,47.7,52.3,6.6,10.4,38.6,41.7,12.4,1.5,80.3,0,"28"
"410",107,151107,3309,0.0218983898826659,403,"25Q792","NORTH QUEENS COMMUNITY HIGH SCHOOL",2013,95,12,0.126,"Q",40.720359,-73.819792,"Kew Gardens Hills","Q792",203,0.492610837438424,0.985221674876847,0,0.985221674876847,"North Queens Community High School",203,45.3,54.7,1.5,16.3,12.8,35,38.4,13.3,61.6,1,"25"
